name,sky_view_factor_inf,sky_view_factor_sup,aspect_ratio_inf,aspect_ratio_sup,building_surface_fraction_inf,building_surface_fraction_sup,impervious_surface_fraction_inf,impervious_surface_fraction_sup,pervious_surface_fraction_inf,pervious_surface_fraction_sup,height_of_roughness_elements_inf,height_of_roughness_elements_sup,terrain_roughness_class_inf,terrain_roughness_class_sup
LCZ1,0.2,0.4,2.0,,0.4,0.6,0.4,0.6,0.0,0.1,25.0,,7.5,8.5
LCZ2,0.3,0.6,0.8,2.0,0.4,0.7,0.3,0.5,0.0,0.2,10.0,25.0,5.5,7.5
LCZ3,0.2,0.6,0.8,1.5,0.4,0.7,0.2,0.5,0.0,0.3,3.0,10.0,5.5,6.5
LCZ4,0.5,0.7,0.8,1.3,0.2,0.4,0.3,0.4,0.3,0.4,25.0,,6.5,8.5
LCZ5,0.5,0.8,0.3,0.8,0.2,0.4,0.3,0.5,0.2,0.4,10.0,25.0,4.5,6.5
LCZ6,0.6,0.9,0.3,0.8,0.2,0.4,0.2,0.5,0.3,0.6,3.0,10.0,4.5,6.5
LCZ7,0.2,0.5,1.0,2.0,0.6,0.9,0.0,0.2,0.0,0.3,2.0,4.0,3.5,5.5
LCZ8,0.7,1.0,0.1,0.3,0.3,0.5,0.4,0.5,0.0,0.2,3.0,10.0,4.5,5.5
LCZ9,0.8,1.0,0.1,0.3,0.1,0.2,0.0,0.2,0.6,0.8,3.0,10.0,4.5,6.5
LCZ10,0.6,0.9,0.2,0.5,0.2,0.3,0.2,0.4,0.4,0.5,5.0,15.0,4.5,6.5
LCZA,0.0,0.4,1.0,,0.0,0.1,0.0,0.1,0.9,1.0,3.0,30.0,7.5,8.5
LCZB,0.5,0.8,0.3,0.8,0.0,0.1,0.0,0.1,0.9,1.0,3.0,15.0,4.5,6.5
LCZC,0.7,0.9,0.3,1.0,0.0,0.1,0.0,0.1,0.9,1.0,0.0,2.0,3.5,5.5
LCZD,0.9,1.0,0.0,0.1,0.0,0.1,0.0,0.1,0.9,1.0,0.0,1.0,2.5,4.5
LCZE,0.9,1.0,0.0,0.1,0.0,0.1,0.0,0.1,0.9,1.0,0.0,0.3,0.5,2.5
LCZF,0.9,1.0,0.0,0.1,0.0,0.1,0.0,0.1,0.9,1.0,0.0,0.3,0.5,2.5
LCZG,0.9,1.0,0.0,0.1,0.0,0.1,0.0,0.1,0.9,1.0,0.0,0.0,0.5,1.5
